epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9707,0.40285,1.28767,1.15039,0.00924,1,0.97976,0.4664,1.89604,2.54132,1.77317,0.0671514,1.64251e-06,1.64251e-06
2,34.1725,0.18456,0.52584,0.98265,0.99324,0.98061,0.99408,0.98151,0.27461,1.02951,0.54357,0.0338181,1.67114e-06,1.67114e-06
